name,gender,country,disciplines
Fatemeh MOJALLALTOPRAGHGHALE,Female,IR Iran,['Rowing']
Saleh ELSHARABATY,Male,Jordan,['Taekwondo']
Said AL KHATRI,Male,Oman,['Shooting']
Issa Samir Hamed AL ADAWI,Male,Oman,['Swimming']
Zaid KAREEM,Male,Jordan,['Taekwondo']
Vishnu SARAVANAN,Male,India,['Sailing']
Nethra KUMANAN,Female,India,['Sailing']
Ulises SARAVIA,Male,Argentina,['Swimming']
Florencia BORELLI,Female,Argentina,['Athletics']
Belen CASETTA,Female,Argentina,['Athletics']
Joaquin GOMEZ,Male,Argentina,['Athletics']
Elian LARREGINA,Male,Argentina,['Athletics']
Nazareno SASIA,Male,Argentina,['Athletics']
Edwin Kwabla GADAYI,Male,Ghana,['Athletics']
Jayhan Jamaud ODLUM-SMITH,Male,Saint Lucia,['Swimming']
Ahmed ABUZRIBA,Male,Libya,['Weightlifting']
Mohamed BUKRAH,Male,Libya,['Rowing']
Sid Ali BOUDINA,Male,Algeria,['Rowing']
Federico GIL,Male,Argentina,['Shooting']
Marcelo Julian GUTIERREZ,Male,Argentina,['Shooting']
Fernanda RUSSO,Female,Argentina,['Shooting']
Jordan CROOKS,Male,Cayman Islands,['Swimming']
Eugenia BOSCO,Female,Argentina,['Sailing']
Chiara FERRETTI,Female,Argentina,['Sailing']
Mateo MAJDALANI,Male,Argentina,['Sailing']
Francisco CRUZ SAUBIDET BIRKNER,Male,Argentina,['Sailing']
Maria Catalina TURIENZO,Female,Argentina,['Sailing']
Chelsea EDGHILL,Female,Guyana,['Table Tennis']
Prithviraj TONDAIMAN,Male,India,['Shooting']
Swapnil KUSALE,Male,India,['Shooting']
Manika BATRA,Female,India,['Table Tennis']
Manav Vikash THAKKAR,Male,India,['Table Tennis']
Alina ZMUSHKA,Female,AIN,['Swimming']
Sreeja AKULA,Female,India,['Table Tennis']
Maheshwari CHAUHAN,Female,India,['Shooting']
Ilya SHYMANOVICH,Male,AIN,['Swimming']
Sharath Kamal ACHANTA,Male,India,['Table Tennis']
Anastasiya SHKURDAI,Female,AIN,['Swimming']
Anjum MOUDGIL,Female,India,['Shooting']
Shreyasi SINGH,Female,India,['Shooting']
Manu BHAKER,Female,India,['Shooting']
Yauheni ZALATY,Male,AIN,['Rowing']
Elavenil VALARIVAN,Female,India,['Shooting']
Harmeet DESAI,Male,India,['Table Tennis']
Archana Girish KAMATH,Female,India,['Table Tennis']
Kennice Aphenie GREENE,Female,StVincent&Grenadines,['Swimming']
Alex JOACHIM,Male,StVincent&Grenadines,['Swimming']
Agustina ALBERTARRIO,Female,Argentina,['Hockey']
Agostina ALONSO,Female,Argentina,['Hockey']
Maria CAMPOY,Female,Argentina,['Hockey']
Sofia CAIRO,Female,Argentina,['Hockey']
Lara CASAS,Female,Argentina,['Hockey']
Juana CASTELLARO MORELLO,Female,Argentina,['Hockey']
Cristina COSENTINO,Female,Argentina,['Hockey']
Agustina GORZELANY,Female,Argentina,['Hockey']
Maria GRANATTO,Female,Argentina,['Hockey']
Julieta JANKUNAS,Female,Argentina,['Hockey']
Valentina RAPOSO RUIZ de los LLANOS,Female,Argentina,['Hockey']
Rocio SANCHEZ MOCCIA,Female,Argentina,['Hockey']
Victoria SAUZE VALDEZ,Female,Argentina,['Hockey']
Sofia TOCCALINO,Female,Argentina,['Hockey']
Eugenia TRINCHINETTI,Female,Argentina,['Hockey']
Agustin BUGALLO,Male,Argentina,['Hockey']
Bautista CAPURRO ZUBELDIA,Male,Argentina,['Hockey']
Maico CASELLA SCHUTH,Male,Argentina,['Hockey']
Juan CATAN,Male,Argentina,['Hockey']
Tomas DOMENE,Male,Argentina,['Hockey']
Thomas HABIF,Male,Argentina,['Hockey']
Nicolas KEENAN,Male,Argentina,['Hockey']
Tadeo MARCUCCI,Male,Argentina,['Hockey']
Lucas MARTINEZ,Male,Argentina,['Hockey']
Tobias MARTINS,Male,Argentina,['Hockey']
Mahsa JAVER,Female,IR Iran,['Rowing']
Zeinab NOROUZI TAZEH KAND,Female,IR Iran,['Rowing']
Mohammad BEYRANVAND,Male,IR Iran,['Shooting']
Haniyeh ROSTAMIYAN,Female,IR Iran,['Shooting']
Fatemeh AMINI POZVEH,Female,IR Iran,['Shooting']
Shermineh CHEHEL AMIRANI,Female,IR Iran,['Shooting']
Madalina AMAISTROAIE,Female,Romania,['Archery']
Carole Diana BOUZIDI,Female,Algeria,['Canoe Slalom']
Askerbii GERBEKOV,Male,Bahrain,['Judo']
Arthur CISSE,Male,Côte d'Ivoire,['Athletics']
